Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
playerLPorchLight01,blocks,Light,,,Old Fashion Porch Light,Luz de pórtico de moda antigua
playerLPorchLight04,blocks,Light,,,Porch Light,Luz del porche
apparelSteelLegsMod,item_modifiers,mod,,,"[Mod]Steel Leg Armor","[Mod]Armadura de pierna de acero","[Mod]Armadura de pierna de acero"
apparelSteelBootsMod,item_modifiers,mod,,,"[Mod]Steel Boots","[Mod]Botas de acero","[Mod]Botas de acero"
apparelMiningHelmetMod,item_modifiers,mod,,,"[Mod]Mining Helmet","[Mod]Casco de minero","[Mod]Casco de minero"
apparelSwatHelmetMod,item_modifiers,mod,,,"[Mod]SWAT Helmet","[Mod]Casco de SWAT","[Mod]Casco de SWAT"
apparelFootballHelmetMod,item_modifiers,mod,,,"[Mod]Football Helmet","[Mod]Casco de fútbol americano","[Mod]Casco de fútbol americano"
apparelSuitPantsMod,item_modifiers,mod,,,"[Mod]Suit Pants","[Mod]Pantalones de traje","[Mod]Pantalones de traje"
apparelGothPantsMod,item_modifiers,mod,,,"[Mod]Gothic Pants","[Mod]Pantalones góticos","[Mod]Pantalones góticos"
dyestationdesc,blocks,station,,,"An stationf for dye creation, unlock it with all 7 Needle & Thread books","Estacion para la creacion de tintes, desbloqueala con los siete libros de Aguja e hilo","Estacion para la creacion de tintes, desbloqueala con los siete libros de Aguja e hilo"
garageDoorHouse3x3Player,blocks,door,,,Rolling Garage Door 3x3,Puestas de garaje de carrete 3x3,Puestas de garaje de carrete 3x3
garageDoorHouseBrown3x3Player,blocks,door,,,Rolling Garage Brown 3x3,Puestas de garaje de marrón 3x3,Puestas de garaje de marrón 3x3
garageDoorIndustrial3x3Player,blocks,door,,,Rolling Garage Industrial 3x3,Puestas de garaje de industrial 3x3,Puestas de garaje de industrial 3x3
decoVariant_Cooking,blocks,Block,,,Modern Cooking Appliances,Ayudante de cocina moderna,Ayudante de cocina moderna
decoVariant_CookingBlockDesc,blocks,Block,,,Place these bad boys down and start cooking in modern times!,¡Coloque a estos chicos malos y comience a cocinar en los tiempos modernos!,¡Coloque a estos chicos malos y comience a cocinar en los tiempos modernos!
modernCookingWallOven,blocks,Block,,,Modern Wall Oven,Horno de pared moderno,Horno de pared moderno
modernCookingOldStove,blocks,Block,,,Modern Stove,Estufa moderna,Estufa moderna
modernCookingStoveModern,blocks,Block,,,Modern Stove,Estufa moderna,Estufa moderna
modernCookingWoodStove,blocks,Block,,,Modern Wood Stove,Modern Wood Stone,Modern Wood Stone
modernCookingCoffeeMaker,blocks,Block,,,Modern Coffee Maker,Cafetera moderna,Cafetera moderna
modernCookingCoffeeMakerCommercial,blocks,Block,,,Modern Commercial Coffee Maker,Cafetera comercial moderna,Cafetera comercial moderna
modernCookingCharcoalGrillClosed,blocks,Block,,,"Modern Charcoal Grill (Closed)","Parrilla de carbón moderna (Cerrada)","Parrilla de carbón moderna (Cerrada)"
modernCookingCharcoalGrillOpen,blocks,Block,,,"Modern Charcoal Grill (Open)","Parrilla de carbón moderna (Abierta)","Parrilla de carbón moderna (Abierta)"
modernCookingGasGrillClosed,blocks,Block,,,"Modern Gas Grill (Closed)","Parrilla de gas moderna (Cerrada)","Parrilla de gas moderna (Cerrada)"
modernCookingGasGrillOpen,blocks,Block,,,"Modern Gas Grill (Open)","Parrilla de gas moderna (Abierta)","Parrilla de gas moderna (Abierta)"
modernCookingMicrowave,blocks,Block,,,Modern Microwave,Microondas Moderno,Microondas Moderno
modernCookingToaster,blocks,Block,,,Modern Toaster,Tostadora Moderna,Tostadora Moderna
reinforcedHouseEntryDoor1,blocks,Block,,,Reinforced Home Entry Door 1,Puerta reforzada 1,Puerta reforzada 1
reinforcedHouseEntryDoor2,blocks,Block,,,Reinforced Home Entry Door 2,Puerta reforzada 2,Puerta reforzada 2
reinforcedCommercialEntryDoor1,blocks,Block,,,Reinforced Commercial Entry Door 1,Puerta comercial reforzada 1,Puerta comercial reforzada 1
reinforcedCommercialEntryDoor2,blocks,Block,,,Reinforced Commercial Entry Door 2,Puerta comercial reforzada 2,Puerta comercial reforzada 2
reinforcedCommercialEntryDoor4,blocks,Block,,,Reinforced Commercial Entry Door 4,Puerta comercial reforzada 4,Puerta comercial reforzada 4
decoVariant_ReinforcedDoors,blocks,Block,,,Reinforced Doors Helper,Variante de puertas reforzadas,Variante de puertas reforzadas
rollingGarageDoorBrown,blocks,Block,,,Rolling Garage Door Brown 5x3,Puerta de garaje marrón 5x3,Puerta de garaje marrón 5x3
rollingGarageDoorIndustrial,blocks,Block,,,Rolling Garage Door Industrial 5x3,Puerta de garaje industrial 5x3,Puerta de garaje industrial 5x3
rollingGarageHelper,blocks,Block,,,Rolling Garage Door 5x3,Puerta de garaje de carrete 5x3,Puerta de garaje de carrete 5x3
reinforRollingGarageHelper,blocks,Block,,,Steel Garage Door 5x3 (Powered),Puerta de garaje de acero 5x3 (con alimentación),Puerta de garaje de acero 5x3 (con alimentación)
garageDoorHelper,blocks,Block,,,"A rolling overhead Garage Door that can be locked.\nUsing the default placement you are standing on the outside and it will open by rolling up and away from you.\nRepair with Forged Iron.\nWith the block at hand hold, R and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with." ,"Una puerta de garaje de carrete elevada que se puede cerrar.\nAl colocarla de forma predeterminada, si te pones junto a ella en el exterior, se enrollará y levantará.\nSe repara con hierro forjado.\nCon el bloque en mano, Manten R  y selecciona la Entrada de forma desde el menú. Da clic o pulsa la tecla Mayúsculas+clic para seleccionar una variante con la que construir." ,"Una puerta de garaje de carrete elevada que se puede cerrar.\nAl colocarla de forma predeterminada, si te pones junto a ella en el exterior, se enrollará y levantará.\nSe repara con hierro forjado.\nCon el bloque en mano Manten R  y selecciona la Entrada de forma desde el menú. Da clic o pulsa la tecla Mayúsculas+clic para seleccionar una variante con la que construir."
garageDoorHelperPow,blocks,Block,,,"A rolling overhead Garage Door that can be locked.\nUsing the default placement you are standing on the outside and it will open by rolling up and away from you.\nRepair with Forged Steel.\nConnect to a power source to activate/open this garage door\nWith the block at hand, hold R and select the Shape entry from the menu. Click or Shift-Click to select a variant to build with.","Una puerta de garaje de carrete elevada que se puede cerrar.\nAl colocarla de forma predeterminada, si te pones junto a ella en el exterior, se enrollará y levantará.\nSe repara con acero forjado.\nConéctala a una fuente de alimentación para activar/abrir esta puerta de garaje. \nCon el bloque en mano, Manten R  y selecciona la Entrada de forma desde el menú. Da clic o pulsa la tecla Mayúsculas+clic para seleccionar una variante con la que construir." ,"Una puerta de garaje de carrete elevada que se puede cerrar.\nAl colocarla de forma predeterminada, si te pones junto a ella en el exterior, se enrollará y levantará.\nSe repara con acero forjado.\nConéctala a una fuente de alimentación para activar/abrir esta puerta de garaje. \nCon el bloque en mano Manten R  y selecciona la Entrada de forma desde el menú. Da clic o pulsa la tecla Mayúsculas+clic para seleccionar una variante con la que construir."
rollingGarageDoorBrownDesc,blocks,Block,,,A rolling overhead Garage Door that can be locked.\nUsing the default placement you are standing on the outside and it will open by rolling up and away from you.\nRepair with Forged Iron.
reinforcedGarageDoor,blocks,Block,,,Steel House Garage Door 5x3 (Powered),Puerta de garaje de acero gris 5x3 (con alimentación)
reinforcedGarageDoorBrown,blocks,Block,,,Steel House Garage Door Brown 5x3 (Powered),Puerta de garaje de acero marrón 5x3 (con alimentación)
jailDoorDynamic,blocks,Block,,,Jail Door,Puerta de Carcel,Puerta de Carcel
jailDoorDynamicDesc,blocks,Block,,,"Where do you think you're going? No where with this working jail cell door!",,,,,
decoVariant_signRoad,blocks,Block,,,Road Signs,Señales de Camino,Señales de Camino
decoVariant_signRoadBlockDesc,blocks,Block,,,This helper block contains all of the different road signs,This helper block contains all of the different road signs,This helper block contains all of the different road signs
decoVariant_signShopLit,blocks,Block,,,"Shop Signs (Lit)","Anuncion de Tienda (Iluminado)","Anuncion de Tienda (Iluminado)"
decoVariant_signShopLitBlockDesc,blocks,Block,,,"This helper block contains all of the different shop signs that have light. \n \nPass 'n Gas, Crack A Book, Pop-N-Pills, Shamway Food, Shotgun Messiah, Working Stiff Tools and Savage County.","Este bloque de ayuda contiene todos los diferentes letreros de las tiendas que tienen luz.\n\nPass 'n Gas, Crack A Book, Pop-N-Pills, Shamway Food, Shotgun Messiah, Working Stiff Tools, Savage Contry".,"Este bloque de ayuda contiene todos los diferentes letreros de las tiendas que tienen luz.\n\nPass 'n Gas, Crack A Book, Pop-N-Pills, Shamway Food, Shotgun Messiah, Working Stiff Tools, Savage Contry".
ignShopDarkHelper,blocks,Block,,,"Shop Signs (No Light)","Anuncion de Tienda (Sin Luz)","Anuncion de Tienda (Sin Luz)"
decoVariant_signShopDarkBlockDesc,blocks,Block,,,"This helper block contains all of the different shop signs that are not lit up. \n \nPass 'n Gas, Crack A Book, Pop-N-Pills, Shamway Food, Shotgun Messiah, Working Stiff Tools and Savage Country.","Este bloque de ayuda contiene todos los diferentes letreros de las tiendas que no están iluminados.\n\nPass 'n Gas, Crack A Book, Pop-N-Pills, Shamway Food, Shotgun Messiah, Working Stiff Tools, Savage Contry.","Este bloque de ayuda contiene todos los diferentes letreros de las tiendas que no están iluminados.\n\nPass 'n Gas, Crack A Book, Pop-N-Pills, Shamway Food, Shotgun Messiah, Working Stiff Tools, Savage Contry."
decoVariant_signTrader,blocks,Block,,,Traders Signs,Señales de Traders,Señales de Trader
signShopTraderJoelHelperBlockDesc,blocks,Block,,,This helper block contains different Traders signs,Este bloque variante contiene diferentes señales de trades,Este bloque variante contiene diferentes señales de trades,Este bloque variante contiene diferentes señales de trades,Este bloque variante contiene diferentes señales de trades
decoVariant_VendingMachines,blocks,Block,,,Vending machine's variant,Variante de maquinas de venta
decoVariant_VendingMachinesDesc,desc,Block,,,This variant will let you choose a casino coin´s vending machine from the game to be able to place where you want\nThese machines will reset every 3 days,Este variante te dejare elegir una maquina de venta de fichas de casino del juego para poder colocar donde quieras\nEstas maquinas se restableceran cada 3 dias,Este variante te dejare elegir una maquina de venta de fichas de casino del juego para poder colocar donde quieras\nEstas maquinas se restableceran cada 3 dias
woodenGarageDoor3x3_BlockVariantHelper,blocks,varianthelper,,,Wooden Garage Door 3x3,Puerta de garaje de madera 3x3,Puerta de garaje de madera 3x3
woodenGarageDoor4x3_BlockVariantHelper,blocks,varianthelper,,,Wooden Garage Door 4x3,Puerta de garaje de madera 4x3,Puerta de garaje de madera 4x3
woodenGarageDoor5x3_BlockVariantHelper,blocks,varianthelper,,,Wooden Garage Door 5x3,Puerta de garaje de madera 5x3,Puerta de garaje de madera 5x3
steelGarageDoor3x3_BlockVariantHelper,blocks,varianthelper,,,Steel Garage Door 3x3,Puerta de garaje de acero 3x3,Puerta de garaje de acero 3x3
steelGarageDoor4x3_BlockVariantHelper,blocks,varianthelper,,,Steel Garage Door 4x3,Puerta de garaje de acero 4x3,Puerta de garaje de acero 4x3
steelGarageDoor5x3_BlockVariantHelper,blocks,varianthelper,,,Steel Garage Door 5x3,Puerta de garaje de acero 5x3,Puerta de garaje de acero 5x3
doorWoodLargeGateHF,blocks,door,,,Reinforced Large Wood Gate,Puerta de madera grande reforzada,Puerta de madera grande reforzada
doorWoodLargeGateHF_Powered,blocks,door,,,Reinforced Large Wood Gate (Powered),Puerta de madera grande reforzada (con alimentación),Puerta de madera grande reforzada (con alimentación)

electricianT5,progression,Attribute,,,Tier 5: Powered Reinforced Doors,Nivel 5: Puertas reforzadas con alimentación
woodenGarageDoor3x3WhiteCentered,blocks,block,,,White Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera blanca 3x3 [Centrada]
woodenGarageDoor3x3BrownCentered,blocks,block,,,Brown Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera marrón 3x3 [Centrada]
woodenGarageDoor3x3RedCentered,blocks,block,,,Red Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera roja 3x3 [Centrada]
woodenGarageDoor3x3OrangeCentered,blocks,block,,,Orange Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera naranja 3x3 [Centrada]
woodenGarageDoor3x3YellowCentered,blocks,block,,,Yellow Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera amarilla 3x3 [Centrada]
woodenGarageDoor3x3GreenCentered,blocks,block,,,Green Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera verde 3x3 [Centrada]
woodenGarageDoor3x3BlueCentered,blocks,block,,,Blue Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera azul 3x3 [Centrada]
woodenGarageDoor3x3GreyCentered,blocks,block,,,Grey Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera gris 3x3 [Centrada]
woodenGarageDoor3x3OakCentered,blocks,block,,,Oak Wooden Garage Door 3x3 [Centered],Puerta de garaje de madera de roble 3x3 [Centrada]
woodenGarageDoor3x3Centered_PoweredWhite,blocks,block,,,White Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera blanca 3x3 [Centered](con alimentación)
woodenGarageDoor3x3Centered_PoweredBrown,blocks,block,,,Brown Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera marrón 3x3 [Centered](con alimentación)
woodenGarageDoor3x3Centered_PoweredRed,blocks,block,,,Red Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera roja 3x3 [Centered](con alimentación)
woodenGarageDoor3x3Centered_PoweredOrange,blocks,block,,,Orange Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera naranja 3x3 [Centered](con alimentación)
woodenGarageDoor3x3Centered_PoweredYellow,blocks,block,,,Yellow Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera amarilla 3x3 [Centered](con alimentación)
woodenGarageDoor3x3Centered_PoweredGreen,blocks,block,,,Green Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera verde 3x3 [Centered](con alimentación)
woodenGarageDoor3x3Centered_PoweredBlue,blocks,block,,,Blue Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera azul 3x3 [Centered](con alimentación)
woodenGarageDoor3x3Centered_PoweredGrey,blocks,block,,,Grey Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera gris 3x3 [Centered](con alimentación)
woodenGarageDoor3x3Centered_PoweredOak,blocks,block,,,Oak Wooden Garage Door 3x3 [Centered](Powered),Puerta de garaje de madera de roble 3x3 [Centered](con alimentación)

woodenGarageDoor4x3WhiteCentered,blocks,block,,,White Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera blanca 4x3 [Centrada]
woodenGarageDoor4x3BrownCentered,blocks,block,,,Brown Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera marrón 4x3 [Centrada]
woodenGarageDoor4x3RedCentered,blocks,block,,,Red Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera roja 4x3 [Centrada]
woodenGarageDoor4x3OrangeCentered,blocks,block,,,Orange Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera naranja 4x3 [Centrada]
woodenGarageDoor4x3YellowCentered,blocks,block,,,Yellow Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera amarilla 4x3 [Centrada]
woodenGarageDoor4x3GreenCentered,blocks,block,,,Green Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera verde 4x3 [Centrada]
woodenGarageDoor4x3BlueCentered,blocks,block,,,Blue Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera azul 4x3 [Centrada]
woodenGarageDoor4x3GreyCentered,blocks,block,,,Grey Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera gris 4x3 [Centrada]
woodenGarageDoor4x3OakCentered,blocks,block,,,Oak Wooden Garage Door 4x3 [Centered],Puerta de garaje de madera de roble 4x3 [Centrada]
woodenGarageDoor4x3Centered_PoweredWhite,blocks,block,,,White Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera blanca 4x3 [Centered](con alimentación)
woodenGarageDoor4x3Centered_PoweredBrown,blocks,block,,,Brown Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera marrón 4x3 [Centered](con alimentación)
woodenGarageDoor4x3Centered_PoweredRed,blocks,block,,,Red Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera roja 4x3 [Centered](con alimentación)
woodenGarageDoor4x3Centered_PoweredOrange,blocks,block,,,Orange Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera naranja 4x3 [Centered](con alimentación)
woodenGarageDoor4x3Centered_PoweredYellow,blocks,block,,,Yellow Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera amarilla 4x3 [Centered](con alimentación)
woodenGarageDoor4x3Centered_PoweredGreen,blocks,block,,,Green Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera verde 4x3 [Centered](con alimentación)
woodenGarageDoor4x3Centered_PoweredBlue,blocks,block,,,Blue Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera azul 4x3 [Centered](con alimentación)
woodenGarageDoor4x3Centered_PoweredGrey,blocks,block,,,Grey Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera gris 4x3 [Centered](con alimentación)
woodenGarageDoor4x3Centered_PoweredOak,blocks,block,,,Oak Wooden Garage Door 4x3 [Centered](Powered),Puerta de garaje de madera de roble 4x3 [Centered](con alimentación)

woodenGarageDoor5x3WhiteCentered,blocks,block,,,White Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera blanca 5x3 [Centrada]
woodenGarageDoor5x3BrownCentered,blocks,block,,,Brown Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera marrón 5x3 [Centrada]
woodenGarageDoor5x3RedCentered,blocks,block,,,Red Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera roja 5x3 [Centrada]
woodenGarageDoor5x3OrangeCentered,blocks,block,,,Orange Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera naranja 5x3 [Centrada]
woodenGarageDoor5x3YellowCentered,blocks,block,,,Yellow Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera amarilla 5x3 [Centrada]
woodenGarageDoor5x3GreenCentered,blocks,block,,,Green Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera verde 5x3 [Centrada]
woodenGarageDoor5x3BlueCentered,blocks,block,,,Blue Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera azul 5x3 [Centrada]
woodenGarageDoor5x3GreyCentered,blocks,block,,,Grey Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera gris 5x3 [Centrada]
woodenGarageDoor5x3OakCentered,blocks,block,,,Oak Wooden Garage Door 5x3 [Centered],Puerta de garaje de madera de roble 5x3 [Centrada]
woodenGarageDoor5x3Centered_PoweredWhite,blocks,block,,,White Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera blanca 5x3 [Centered](con alimentación)
woodenGarageDoor5x3Centered_PoweredBrown,blocks,block,,,Brown Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera marrón 5x3 [Centered](con alimentación)
woodenGarageDoor5x3Centered_PoweredRed,blocks,block,,,Red Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera roja 5x3 [Centered](con alimentación)
woodenGarageDoor5x3Centered_PoweredOrange,blocks,block,,,Orange Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera naranja 5x3 [Centered](con alimentación)
woodenGarageDoor5x3Centered_PoweredYellow,blocks,block,,,Yellow Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera amarilla 5x3 [Centered](con alimentación)
woodenGarageDoor5x3Centered_PoweredGreen,blocks,block,,,Green Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera verde 5x3 [Centered](con alimentación)
woodenGarageDoor5x3Centered_PoweredBlue,blocks,block,,,Blue Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera azul 5x3 [Centered](con alimentación)
woodenGarageDoor5x3Centered_PoweredGrey,blocks,block,,,Grey Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera gris 5x3 [Centered](con alimentación)
woodenGarageDoor5x3Centered_PoweredOak,blocks,block,,,Oak Wooden Garage Door 5x3 [Centered](Powered),Puerta de garaje de madera de roble 5x3 [Centered](con alimentación)

steelGarageDoor3x3WhiteCentered,blocks,block,,,White Steel Garage Door 3x3[Centered],Puerta de garaje de acero blanca 3x3[Centrada]
steelGarageDoor3x3BrownCentered,blocks,block,,,Brown Steel Garage Door 3x3[Centered],Puerta de garaje de acero marrón 3x3[Centrada]
steelGarageDoor3x3RedCentered,blocks,block,,,Red Steel Garage Door 3x3[Centered],Puerta de garaje de acero roja 3x3[Centrada]
steelGarageDoor3x3OrangeCentered,blocks,block,,,Orange Steel Garage Door 3x3[Centered],Puerta de garaje de acero naranja 3x3[Centrada]
steelGarageDoor3x3YellowCentered,blocks,block,,,Yellow Steel Garage Door 3x3[Centered],Puerta de garaje de acero amarilla 3x3[Centrada]
steelGarageDoor3x3GreenCentered,blocks,block,,,Green Steel Garage Door 3x3[Centered],Puerta de garaje de acero verde 3x3[Centrada]
steelGarageDoor3x3BlueCentered,blocks,block,,,Blue Steel Garage Door 3x3[Centered],Puerta de garaje de acero azul 3x3[Centrada]
steelGarageDoor3x3GreyCentered,blocks,block,,,Grey Steel Garage Door 3x3[Centered],Puerta de garaje de acero gris 3x3[Centrada]
steelGarageDoor3x3BlackCentered,blocks,block,,,Black Steel Garage Door 3x3[Centered],Puerta de garaje de acero negra 3x3[Centrada]
steelGarageDoor3x3ArmyGreenCentered,blocks,block,,,Army Green Steel Garage Door 3x3[Centered],Puerta de garaje de acero verde militar 3x3[Centrada]
steelGarageDoor3x3Centered_PoweredWhite,blocks,block,,,White Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero blanca 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredBrown,blocks,block,,,Brown Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero marrón 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredRed,blocks,block,,,Red Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero roja 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredOrange,blocks,block,,,Orange Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero naranja 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredYellow,blocks,block,,,Yellow Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero amarilla 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredGreen,blocks,block,,,Green Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero verde 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredBlue,blocks,block,,,Blue Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero azul 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredGrey,blocks,block,,,Grey Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero gris 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredBlack,blocks,block,,,Black Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero negra 3x3[Centrada](con alimentación)
steelGarageDoor3x3Centered_PoweredArmyGreen,blocks,block,,,Army Green Steel Garage Door 3x3[Centered](Powered),Puerta de garaje de acero verde militar 3x3[Centrada](con alimentación)

steelGarageDoor4x3WhiteCentered,blocks,block,,,White Steel Garage Door 4x3[Centered],Puerta de garaje de acero blanca 4x3[Centrada]
steelGarageDoor4x3BrownCentered,blocks,block,,,Brown Steel Garage Door 4x3[Centered],Puerta de garaje de acero marrón 4x3[Centrada]
steelGarageDoor4x3RedCentered,blocks,block,,,Red Steel Garage Door 4x3[Centered],Puerta de garaje de acero roja 4x3[Centrada]
steelGarageDoor4x3OrangeCentered,blocks,block,,,Orange Steel Garage Door 4x3[Centered],Puerta de garaje de acero naranja 4x3[Centrada]
steelGarageDoor4x3YellowCentered,blocks,block,,,Yellow Steel Garage Door 4x3[Centered],Puerta de garaje de acero amarilla 4x3[Centrada]
steelGarageDoor4x3GreenCentered,blocks,block,,,Green Steel Garage Door 4x3[Centered],Puerta de garaje de acero verde 4x3[Centrada]
steelGarageDoor4x3BlueCentered,blocks,block,,,Blue Steel Garage Door 4x3[Centered],Puerta de garaje de acero azul 4x3[Centrada]
steelGarageDoor4x3GreyCentered,blocks,block,,,Grey Steel Garage Door 4x3[Centered],Puerta de garaje de acero gris 4x3[Centrada]
steelGarageDoor4x3BlackCentered,blocks,block,,,Black Steel Garage Door 4x3[Centered],Puerta de garaje de acero negra 4x3[Centrada]
steelGarageDoor4x3ArmyGreenCentered,blocks,block,,,Army Green Steel Garage Door 4x3[Centered],Puerta de garaje de acero verde militar 4x3[Centrada]
steelGarageDoor4x3Centered_PoweredWhite,blocks,block,,,White Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero blanca 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredBrown,blocks,block,,,Brown Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero marrón 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredRed,blocks,block,,,Red Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero roja 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredOrange,blocks,block,,,Orange Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero naranja 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredYellow,blocks,block,,,Yellow Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero amarilla 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredGreen,blocks,block,,,Green Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero verde 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredBlue,blocks,block,,,Blue Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero azul 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredGrey,blocks,block,,,Grey Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero gris 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredBlack,blocks,block,,,Black Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero negra 4x3[Centrada](con alimentación)
steelGarageDoor4x3Centered_PoweredArmyGreen,blocks,block,,,Army Green Steel Garage Door 4x3[Centered](Powered),Puerta de garaje de acero verde militar 4x3[Centrada](con alimentación)

steelGarageDoor5x3WhiteCentered,blocks,block,,,White Steel Garage Door 5x3[Centered],Puerta de garaje de acero blanca 5x3[Centrada]
steelGarageDoor5x3BrownCentered,blocks,block,,,Brown Steel Garage Door 5x3[Centered],Puerta de garaje de acero marrón 5x3[Centrada]
steelGarageDoor5x3RedCentered,blocks,block,,,Red Steel Garage Door 5x3[Centered],Puerta de garaje de acero roja 5x3[Centrada]
steelGarageDoor5x3OrangeCentered,blocks,block,,,Orange Steel Garage Door 5x3[Centered],Puerta de garaje de acero naranja 5x3[Centrada]
steelGarageDoor5x3YellowCentered,blocks,block,,,Yellow Steel Garage Door 5x3[Centered],Puerta de garaje de acero amarilla 5x3[Centrada]
steelGarageDoor5x3GreenCentered,blocks,block,,,Green Steel Garage Door 5x3[Centered],Puerta de garaje de acero verde 5x3[Centrada]
steelGarageDoor5x3BlueCentered,blocks,block,,,Blue Steel Garage Door 5x3[Centered],Puerta de garaje de acero azul 5x3[Centrada]
steelGarageDoor5x3GreyCentered,blocks,block,,,Grey Steel Garage Door 5x3[Centered],Puerta de garaje de acero gris 5x3[Centrada]
steelGarageDoor5x3BlackCentered,blocks,block,,,Black Steel Garage Door 5x3[Centered],Puerta de garaje de acero negra 5x3[Centrada]
steelGarageDoor5x3ArmyGreenCentered,blocks,block,,,Army Green Steel Garage Door 5x3[Centered],Puerta de garaje de acero verde militar 5x3[Centrada]
