Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
fourSkillPoint_P0,item,book,,,"+4 Skill Points","+4 Puntos de Habilidad"
perkwealongdesc5,progression,Attribute,,,Increase your Range with Ranged Weapons by 25%\nIncrease your Megazine side with Ranged Weapons by 25%\nIncrease your Reload speed with Ranged Weapons by 25%,Incrementa tu rango con armas a distancia en 25%\nIncrementa el tamaño de cargador de armas a distancia en 25%\nIncrementa tu velocidad de recarga con armas a distancia en 25%,Incrementa tu rango con armas a distancia en 25%\nIncrementa el tamaño de cargador de armas a distancia en 25%\nIncrementa tu velocidad de recarga con armas a distancia en 25%
perkJE,progression,Attribute,,,Explosives and Turrets Specialist,Especialista en Explosivos y Torretas,Especialista en Explosivos y Torretas
perkJEdesc,progression,Attribute,,,"You know everything part of the turrets and know how to use them beyond their limits and yeah you know everything is more fun with Explosions!",Conoces cada parte de las torretas y las llevas por encima de sus límites y claro está todo es más divertido con Explosiones!,Conoces cada parte de las torretas y las llevas por encima de sus límites y claro está todo es más divertido con Explosiones!
perkJEdesc1,progression,Attribute,,,On turret and Explosives / +10% Damage on explosives / +5% Reload Speed / Increased Megazine,En torretas y explosivos / +10% daño de explosiones / +5% velocidad de recarga / Incremento de Munición,En torretas y explosivos / +10% daño de explosiones / +5% velocidad de recarga / Incremento de Munición
perkJEdesc2,progression,Attribute,,,On turret and Explosives / +20% Damage on explosives / +10% Reload Speed / Increased Megazine,En torretas y explosivos / +20% daño de explosiones / +10% velocidad de recarga / Incremento de Munición,En torretas y explosivos / +20% daño de explosiones / +10% velocidad de recarga / Incremento de Munición
perkJEdesc3,progression,Attribute,,,On turret and Explosives / +30% Damage on explosives / +15% Reload Speed / Increased Megazine,En torretas y explosivos / +30% daño de explosiones / +15% velocidad de recarga / Incremento de Munición,En torretas y explosivos / +30% daño de explosiones / +15% velocidad de recarga / Incremento de Munición
perkJEdesc4,progression,Attribute,,,On turret and Explosives / +40% Damage on explosives / +20% Reload Speed / Increased Megazine,En torretas y explosivos / +40% daño de explosiones / +20% velocidad de recarga / Incremento de Munición,En torretas y explosivos / +40% daño de explosiones / +20% velocidad de recarga / Incremento de Munición
perkJEdesc5,progression,Attribute,,,On turret and Explosives / +50% Damage on explosives / +25% Reload Speed / Increased Megazine,En torretas y explosivos / +50% daño de explosiones / +25% velocidad de recarga / Incremento de Munición,En torretas y explosivos / +50% daño de explosiones / +25% velocidad de recarga / Incremento de Munición

perkJElongdesc1,progression,Attribute,,,Increase Explosives and Rocket Lancher damage by 10%\nIncrease Turret and Rocket Laucher Reload speed by 5%\nIncrease Turret Megazine Side by 20,Incrementa Daño de explosiones y lanzacohetes en 10%\nIncrementa Velocidad de recarga de torretas y Lanzacohetes en 5%\nIncrementa Munición de torretas en 20.,Incrementa Daño de explosiones y lanzacohetes en 10%\nIncrementa Velocidad de recarga de torretas y Lanzacohetes en 5%\nIncrementa Munición de torretas en 20.
perkJElongdesc2,progression,Attribute,,,Increase Explosives and Rocket Lancher damage by 20%\nIncrease Turret and Rocket Laucher Reload speed by 10%\nIncrease Turret Megazine Side by 40,Incrementa Daño de explosiones y lanzacohetes en 20%\nIncrementa Velocidad de recarga de torretas y Lanzacohetes en 10%\nIncrementa Munición de torretas en 40.,Incrementa Daño de explosiones y lanzacohetes en 20%\nIncrementa Velocidad de recarga de torretas y Lanzacohetes en 10%\nIncrementa Munición de torretas en 40.
perkJElongdesc3,progression,Attribute,,,Increase Explosives and Rocket Lancher damage by 30%\nIncrease Turret and Rocket Laucher Reload speed by 15%\nIncrease Turret Megazine Side by 60 and Rocket Laucher in 1,Incremental Daño de explosiones y lanzacohetes en 30%\nIncrementa Velocidad de recarga de torretas y Lanzacohetes en 15%\nIncrementa Munición de torretas en 60 y de Lanzacohetes en 1.,Incremental Daño de explosiones y lanzacohetes en 30%\nIncrementa Velocidad de recarga de torretas y Lanzacohetes en 15%\nIncrementa Munición de torretas en 60 y de Lanzacohetes en 1.
perkJElongdesc4,progression,Attribute,,,Increase Explosives and Rocket Lancher damage by 40%\nIncrease Turret and Rocket Laucher Reload speed by 20%\nIncrease Turret Megazine Side by 80,Incrementa Daño de explosiones y lanzacohetes en 40%\nIncrementa Velocidad de recarga de torretas y Lanzacohetes en 20%\nIncrementa Munición de torretas en 80.,Incrementa Daño de explosiones y lanzacohetes en 40%\nIncrementa Velocidad de recarga de torretas y Lanzacohetes en 20%\nIncrementa Munición de torretas en 80.
perkJElongdesc5,progression,Attribute,,,Increase Explosives and Rocket Lancher damage by 50%\nIncrease Turret and Rocket Laucher Reload speed by 25%\nIncrease Turret Megazine Side by 100 and Rocket Laucher in 2\nIncrease number of active turrets in 1,Incrementa Daño de explosiones y lanzacohetes en 50%\nIncrementa Velocidad de recarga de torretas y Lanzacohetes en 25%\nIncrementa Munición de torretas en 100 y de Lanzacohetes en 2.\nIncrementa el numero de torretas activas en 1,Incrementa Daño de explosiones y lanzacohetes en 50%\nIncrementa Velocidad de recarga de torretas y Lanzacohetes en 25%\nIncrementa Munición de torretas en 100 y de Lanzacohetes en 2.\nIncrementa el numero de torretas activas en 1
perkloota,progression,Attribute,,,The Art of Looting,El arte del Looteo,El arte del Looteo
perklootadesc,progression,Attribute,,,"Nothing can escape your grasp, the way you you loot is now a form of art","Nada puede escapar tus garras, la forma en que looteas es ahora una forma de arte","Nada puede escapar tus garras, la forma en que looteas es ahora una forma de arte"
perklootadesc1,progression,Attribute,,,+5% Loot Bonus / Treasures items / +4% Looting Speed,+5% Loot bonus / Items en Tesoros / +4% Velocidad de looteo,+5% Loot bonus / Items en Tesoros / +4% Velocidad de looteo
perklootadesc2,progression,Attribute,,,+10% Loot Bonus / Treasures items / +8% Looting Speed,+10% Loot bonus / Items en Tesoros / +8% Velocidad de looteo,+10% Loot bonus / Items en Tesoros / +8% Velocidad de looteo
perklootadesc3,progression,Attribute,,,+15% Loot Bonus / Treasures items / +12% Looting Speed,+15% Loot bonus / Items en Tesoros / +12% Velocidad de looteo,+15% Loot bonus / Items en Tesoros / +12% Velocidad de looteo
perklootadesc4,progression,Attribute,,,+20% Loot Bonus / Treasures items / +16% Looting Speed,+20% Loot bonus / Items en Tesoros / +16% Velocidad de looteo,+20% Loot bonus / Items en Tesoros / +16% Velocidad de looteo
perklootadesc5,progression,Attribute,,,+25% Loot Bonus / Treasures items / +20% Looting Speed,+25% Loot bonus / Items en Tesoros / +20% Velocidad de looteo,+25% Loot bonus / Items en Tesoros / +20% Velocidad de looteo
perklootalongdesc1,progression,Attribute,,,Increase Loot Bonus by 5%\nIncrease Buried Treasure items by 5%\nIncrease Looting Speed by 4%,Incrementa el bonus de loot en 5%\nIncrementa Items de tesoros enterrados en 5%\nIncrementa velocidad de looteo en 4%,Incrementa el bonus de loot en 5%\nIncrementa Items de tesoros enterrados en 5%\nIncrementa velocidad de looteo en 4%
perklootalongdesc2,progression,Attribute,,,Increase Loot Bonus by 10%\nIncrease Buried Treasure items by 10%\nIncrease Looting Speed by 8%,Incrementa el bonus de loot en 10%\nIncrementa Items de tesoros enterrados en 10%\nIncrementa velocidad de looteo en 8%,Incrementa el bonus de loot en 10%\nIncrementa Items de tesoros enterrados en 10%\nIncrementa velocidad de looteo en 8%
perklootalongdesc3,progression,Attribute,,,Increase Loot Bonus by 15%\nIncrease Buried Treasure items by 15%\nIncrease Looting Speed by 12%,Incrementa el bonus de loot en 15%\nIncrementa Items de tesoros enterrados en 15%\nIncrementa velocidad de looteo en 12%,Incrementa el bonus de loot en 15%\nIncrementa Items de tesoros enterrados en 15%\nIncrementa velocidad de looteo en 12%
perklootalongdesc4,progression,Attribute,,,Increase Loot Bonus by 20%\nIncrease Buried Treasure items by 20%\nIncrease Looting Speed by 16%,Incrementa el bonus de loot en 20%\nIncrementa Items de tesoros enterrados en 20%\nIncrementa velocidad de looteo en 16%,Incrementa el bonus de loot en 20%\nIncrementa Items de tesoros enterrados en 20%\nIncrementa velocidad de looteo en 16%
perklootalongdesc5,progression,Attribute,,,Increase Loot Bonus by 25%\nIncrease Buried Treasure items by 25%\nIncrease Looting Speed by 20%\n\nWith Lucky Looter MAX you have instant loot,Incrementa el bonus de loot en 25%\nIncrementa Items de tesoros enterrados en 25%\nIncrementa velocidad de looteo en 20%\n\nCon Saqueador con suerte al máximo tienes looteo Instantáneo,Incrementa el bonus de loot en 25%\nIncrementa Items de tesoros enterrados en 25%\nIncrementa velocidad de looteo en 20%\n\nCon Saqueador con suerte al máximo tienes looteo Instantáneo
perkpr,progression,Attribute,,,Prestige,Prestigio,Prestigio
perkprdesc,progression,Attribute,,,Only thos that have achived Max lvl and started again are worthy of the prestige skills!,Solo Aquellos que han alcanzo el lvl máximo y vuelto a comenzar son dignos de las skills de prestigio,Solo Aquellos que han alcanzo el lvl máximo y vuelto a comenzar son dignos de las skills de prestigio
perkprdesc1,progression,Attribute,,,Unlocked Prestige,Prestigio Desbloqueado,Prestigio Desbloqueado
perkprlongdesc1,progression,Attribute,,,You have unlocked the prestige attribute and all of its abilities!,Has desbloqueado el Atributo prestigio y todas sus habilidades!,Has desbloqueado el Atributo prestigio y todas sus habilidades!
prestige1Badge,items,medal,,,Prestige Medal,Medalla de Prestigio,Medalla de Prestigio
prestige2Badge,items,medal,,,Prestige Medal 2,Medalla de Prestigio 2,Medalla de Prestigio 2
prestige3Badge,items,medal,,,Prestige Medal 3,Medalla de Prestigio 3,Medalla de Prestigio 3

prestigeBadgeDesc,items,desc,,,This medal is given to those who have reached the limit of their abilities and seek to improve even more\n\n[D13A3A]▼ Using this item will reset your character [-],Esta medalla es dada a aquellos que han llegado al  límite de sus habilidades y buscan mejorar aun mas\n\n[D13A3A]▼ Usar este item reiniciara tu personaje[-]
prestige1BadgeDesc,items,desc,,,This medal is given to those who have reached the limit of their abilities and seek to improve even more\n\n[D13A3A]▼ Using this item will reset your character [-],Esta medalla es dada a aquellos que han llegado al  límite de sus habilidades y buscan mejorar aun mas\n\n[D13A3A]▼ Usar este item reiniciara tu personaje[-]
prestige2BadgeDesc,items,desc,,,This medal is given to those who have reached the limit of their abilities and seek to improve even more\n\nUnlock Prestige Skills,Esta medalla es dada a aquellos que han llegado al  límite de sus habilidades y buscan mejorar aun mas\n\nDesbloquea Las skills de prestigio
prestige3BadgeDesc,items,desc,,,This medal is given to those who have reached the limit of their abilities and seek to improve even more\n\nUnlock Prestige Skills,Esta medalla es dada a aquellos que han llegado al  límite de sus habilidades y buscan mejorar aun mas\n\nDesbloquea Las skills de prestigio

prestige1BadgeDesc,items,desc,,,This medal is given to those who have reached the limit of their abilities and seek to improve even more\n\nUnlock Prestige Skills,Esta medalla es dada a aquellos que han llegado al  límite de sus habilidades y buscan mejorar aun mas\n\nDesbloquea Las skills de prestigio
prestige2BadgeDesc,items,desc,,,This medal is given to those who have reached the limit of their abilities and seek to improve even more\n\nUnlock Prestige Skills,Esta medalla es dada a aquellos que han llegado al  límite de sus habilidades y buscan mejorar aun mas\n\nDesbloquea Las skills de prestigio
prestige3BadgeDesc,items,desc,,,This medal is given to those who have reached the limit of their abilities and seek to improve even more\n\nUnlock Prestige Skills,Esta medalla es dada a aquellos que han llegado al  límite de sus habilidades y buscan mejorar aun mas\n\nDesbloquea Las skills de prestigio


ancientUnlocker,items,medal,,,[Event]Ancient Unlocker,[Evento]Desbloqueador ancestral
ancientUnlockerDesc,items,desc,,,An special event badge given to the player that unravel a secret event,Una medalla especial para el jugador que descubrio un evento secreto
req7,progression,Attribute,,,lvl 300,lvl 300,lvl 300
req8,progression,Attribute,,,lvl 50,lvl 50,lvl 50
req9,progression,Attribute,,,lvl 100,lvl 100,lvl 100
req10,progression,Attribute,,,lvl 200,lvl 200,lvl 200
prestige,buff,buffname,,,Prestige,Prestigio,Prestigio
prestige2,buff,buffname,,,Prestige II,Prestigio II,Prestigio II
prestige3,buff,buffname,,,Prestige Tester,Prestigio Tester,Prestigio Tester
PPdesc,buff,buffname,,,This buff show you have prestige Activated,Esta Buff es prueba de que tienes activado el Prestigio\n-50% XP Gain,Esta Buff es prueba de que tienes activado el Prestigio\n-50% XP Gain
PPdesc2,buff,buffname,,,This buff show you have prestige Activated,Esta Buff es prueba de que tienes activado el Prestigio\n-75% XP Gain,Esta Buff es prueba de que tienes activado el Prestigio\n-75% XP Gain
PPdesc3,buff,buffname,,,This buff show you have prestige Activated\n[D13A3A]• You will lose all your lvls and skills upon death,Esta Buff es prueba de que tienes activado el Prestigio\n-75% XP Gain\n[D13A3A]• Perderas todo tu nivel y habilidades al morir
advpresperk,progression,Attribute,,,Advanced Engineering lvl 5,Ingeniería Avanzada lvl 5,Ingeniería Avanzada lvl 5
luckpresperk,progression,Attribute,,,Lucky Looter lvl 5,Saqueador con suerte lvl 5,Saqueador con suerte lvl 5
healpresperk2,progression,Attribute,,,Healing Factor lvl 5,Factor de curación lvl 5,Factor de curación lvl 5
healpresperk,progression,Attribute,,,Physician lvl 4,Medico lvl 5,Medico lvl 5
perkslowdesc2,progression,,,,Master Chef lvl 3,Master Chef lvl 3,Master Chef lvl 3
minpresdesc1,progression,Attribute,,,Miner 69 lvl 1,Minero 69 lvl 1,Minero 69 lvl 1
minpresdesc2,progression,Attribute,,,Salvage Operation lvl 1,Operacion de Salvamento lvl 1,Operacion de Salvamento lvl 1
minpresdesc11,progression,Attribute,,,Miner 69 lvl 2,Minero 69 lvl 2,Minero 69 lvl 2
minpresdesc21,progression,Attribute,,,Salvage Operation lvl 2,Operacion de Salvamento lvl 2,Operacion de Salvamento lvl 2
minpresdesc12,progression,Attribute,,,Miner 69 lvl 3,Minero 69 lvl 3,Minero 69 lvl 3
minpresdesc22,progression,Attribute,,,Salvage Operation lvl 3,Operacion de Salvamento lvl 3,Operacion de Salvamento lvl 3
minpresdesc13,progression,Attribute,,,Miner 69 lvl 4,Minero 69 lvl 4,Minero 69 lvl 4
minpresdesc23,progression,Attribute,,,Salvage Operation lvl 4,Operacion de Salvamento lvl 4,Operacion de Salvamento lvl 4
minpresdesc14,progression,Attribute,,,Miner 69 lvl 5,Minero 69 lvl 5,Minero 69 lvl 5
minpresdesc24,progression,Attribute,,,Salvage Operation lvl 5,Operacion de Salvamento lvl 5,Operacion de Salvamento lvl 5

wppresdesc1,progression,Attribute,,,Dead Eye lvl 1,Ojo Muerto lvl 1,Ojo Muerto lvl 1
wppresdesc2,progression,Attribute,,,Boom Stick lvl 1,Palo Explosivo lvl 1,Palo Explosivo lvl 1
wppresdesc3,progression,Attribute,,,Gunslinger lvl 1,Pistola Facil lvl 1,Pistola Facil lvl 1
wppresdesc11,progression,Attribute,,,Dead Eye lvl 2,Ojo Muerto lvl 2,Ojo Muerto lvl 2
wppresdesc21,progression,Attribute,,,Boom Stick lvl 2,Palo Explosivo lvl 2,Palo Explosivo lvl 2
wppresdesc31,progression,Attribute,,,Gunslinger lvl 2,Pistola Facil lvl 2,Pistola Facil lvl 2
wppresdesc12,progression,Attribute,,,Dead Eye lvl 3,Ojo Muerto lvl 3,Ojo Muerto lvl 3
wppresdesc22,progression,Attribute,,,Boom Stick lvl 3,Palo Explosivo lvl 3,Palo Explosivo lvl 3
wppresdesc32,progression,Attribute,,,Gunslinger lvl 3,Pistola Facil lvl 3,Pistola Facil lvl 3
wppresdesc13,progression,Attribute,,,Dead Eye lvl 4,Ojo Muerto lvl 4,Ojo Muerto lvl 4
wppresdesc23,progression,Attribute,,,Boom Stick lvl 4,Palo Explosivo lvl 4,Palo Explosivo lvl 4
wppresdesc33,progression,Attribute,,,Gunslinger lvl 4,Pistola Facil lvl 4,Pistola Facil lvl 4
wppresdesc14,progression,Attribute,,,Dead Eye lvl 5,Ojo Muerto lvl 5,Ojo Muerto lvl 5
wppresdesc24,progression,Attribute,,,Boom Stick lvl 5,Palo Explosivo lvl 5,Palo Explosivo lvl 5
wppresdesc34,progression,Attribute,,,Gunslinger lvl 5,Pistola Facil lvl 5,Pistola Facil lvl 5
wppresdesc4,progression,Attribute,,,Machine Guner lvl 1,Ametrallador lvl 1,Ametrallador lvl 1
wppresdesc41,progression,Attribute,,,Machine Guner lvl 2,Ametrallador lvl 2,Ametrallador lvl 2
wppresdesc42,progression,Attribute,,,Machine Guner lvl 3,Ametrallador lvl 3,Ametrallador lvl 3
wppresdesc43,progression,Attribute,,,Machine Guner lvl 4,Ametrallador lvl 4,Ametrallador lvl 4
wppresdesc44,progression,Attribute,,,Machine Guner lvl 5,Ametrallador lvl 5,Ametrallador lvl 5
etpresdesc1,progression,Attribute,,,Demolition Expert lvl 1,Experto en Demoliciones lvl 1,Experto en Demoliciones lvl 1
etpresdesc2,progression,Attribute,,,Robotic Inventor lvl 1,Creador de Robótica lvl 1,Creador de Robótica lvl 1
etpresdesc11,progression,Attribute,,,Demolition Expert lvl 2,Experto en Demoliciones lvl 2,Experto en Demoliciones lvl 2
etpresdesc21,progression,Attribute,,,Robotic Inventor lvl 2,Creador de Robótica lvl 2,Creador de Robótica lvl 2
etpresdesc12,progression,Attribute,,,Demolition Expert lvl 4,Experto en Demoliciones lvl 3,Experto en Demoliciones lvl 3
etpresdesc22,progression,Attribute,,,Robotic Inventor lvl 3,Creador de Robótica lvl 3,Creador de Robótica lvl 3
etpresdesc13,progression,Attribute,,,Demolition Expert lvl 4,Experto en Demoliciones lvl 4,Experto en Demoliciones lvl 4
etpresdesc23,progression,Attribute,,,Robotic Inventor lvl 4,Creador de Robótica lvl 4,Creador de Robótica lvl 4
etpresdesc14,progression,Attribute,,,Demolition Expert lvl 5,Experto en Demoliciones lvl 5,Experto en Demoliciones lvl 5
etpresdesc24,progression,Attribute,,,Robotic Inventor lvl 5,Creador de Robótica lvl 5,Creador de Robótica lvl 5
attPrestige,progression,Attribute,,,Special,Especial,Especial
challengeRewardPrestige0Apply,item,consumable,,,Prestige Kit,Kit de Prestigio
challengeRewardPrestige1Apply,item,consumable,,,Prestige Kit 2,Kit de Prestigio 2
challengeRewardPrestige2Apply,item,consumable,,,Prestige Kit 3,Kit de Prestigio 3
challengeRewardPrestigeApplyDesc,items,Desc,,,This bundle will give you items to start your prestige\n\n★ Open this bundle to unlock prestige perks\n• The contents vary depending on the prestige lvl.,"Este paquete te dará ítems para comenzar tu prestigio\n\n★ Abre este paquete para desbloquear los perk de prestigio\n• El contenido varia dependiendo del nivel de prestigio"

challengeRewardPrestige0Apply2Desc,items,Desc,,,This item will give you a kit with the items of prestige\n• This box can only be used at lvl 350\n• Opening this box will [F0EA4C]RESET your LVL/Skills/Books/Magazines[-] Use it only when u are ready for it,"Este item te dará un kit con los ítems de prestigio\n• Esta caja solo puede abrirse al lvl 350\n• Al abrir esta caja , [F0EA4C] RESTABLECERÁ tu LVL/Habilidades/Libros/Revistas[-] Úsalo solo cuando esté listo para ello.", "Este item te dará un kit con los ítems de prestigio\n• Esta caja solo puede abrirse al lvl 350\n• Al abrir esta caja , [F0EA4C] RESTABLECERÁ tu LVL/Habilidades/Libros/Revistas[-] Úsalo solo cuando esté listo para ello."
challengeRewardPrestige0ApplyDesc,items,Desc,,,This item will give you a kit with the items of prestige\n• This box can only be used at lvl 350\n• Opening this box will [F0EA4C]RESET your LVL/Skills/Books/Magazines[-] Use it only when u are ready for it,"Este item te dará un kit con los ítems de prestigio\n• Esta caja solo puede abrirse al lvl 350\n• Al abrir esta caja , [F0EA4C] RESTABLECERÁ tu LVL/Habilidades/Libros/Revistas[-] Úsalo solo cuando esté listo para ello.", "Este item te dará un kit con los ítems de prestigio\n• Esta caja solo puede abrirse al lvl 350\n• Al abrir esta caja , [F0EA4C] RESTABLECERÁ tu LVL/Habilidades/Libros/Revistas[-] Úsalo solo cuando esté listo para ello."
challengeRewardPrestige0Apply2Desc,items,Desc,,,This item will give you a kit with the items of prestige\n• This box can only be used at lvl 350\n• Opening this box will [F0EA4C]RESET your LVL/Skills/Books/Magazines[-] Use it only when u are ready for it,"Este item te dará un kit con los ítems de prestigio\n• Esta caja solo puede abrirse al lvl 350\n• Al abrir esta caja , [F0EA4C] RESTABLECERÁ tu LVL/Habilidades/Libros/Revistas[-] Úsalo solo cuando esté listo para ello.", "Este item te dará un kit con los ítems de prestigio\n• Esta caja solo puede abrirse al lvl 350\n• Al abrir esta caja , [F0EA4C] RESTABLECERÁ tu LVL/Habilidades/Libros/Revistas[-] Úsalo solo cuando esté listo para ello."
challengeRewardPrestige0ApplyQuestDesc,items,Desc,,,This item will give you a kit with the items of prestige\n• This book can only be read at lvl 350,"Este item te dará un kit con los ítems de prestigio\n• Esta caja solo puede abrirse al lvl 350\n• Al abrir esta caja , [F0EA4C] RESTABLECERÁ tu LVL/Habilidades/Libros/Revistas[-] Úsalo solo cuando esté listo para ello.","Este item te dará un kit con los ítems de prestigio\n• Este libre solo puede leerse al lvl 350","Este item te dará un kit con los ítems de prestigio\n• Este libre solo puede leerse al lvl 350"
challengeRewardPrestige0ApplyQuest2Desc,items,Desc,,,This item will give you a kit with the items of prestige 2\n• This book can only be read at lvl 350,"Este item te dará un kit con los ítems de prestigio\n• Esta caja solo puede abrirse al lvl 350\n• Al abrir esta caja , [F0EA4C] RESTABLECERÁ tu LVL/Habilidades/Libros/Revistas[-] Úsalo solo cuando esté listo para ello.","Este item te dará un kit con los ítems de prestigio\n• Este libre solo puede leerse al lvl 350","Este item te dará un kit con los ítems de prestigio\n• Este libre solo puede leerse al lvl 350"

pSPKey,quests,Desc,,,Special,Especial,Especial
SkillPoints,item,book,,,"+20 Skill Points","+20 Puntos de Habilidad","+20 Puntos de Habilidad"
20SPDesc,items,Gun,,,This item gives you 20 extra skill points to use.,Este item te dará 20 puntos de skill adicionales para usar.,Este item te dará 20 punto de skill adicionales para usar.
sp20name,quests,Desc,,,Veteran,Veterano,Veterano
sp20sub,quests,Desc,,,Veteran Skill Points,Puntos de Skill de Veterano,Puntos de Skill de Veterano
sp20desc,quests,Desc,,,b
20SPKey,quests,Desc,,,Reading this will give you 20 extra skills points!\n▼This item can't be read it more than one time\n\n\n\n\n\n\n\n           Puto el que lo lea xD,Este item te dará 20 puntos de skill adicionales!\n▼Este item no se puede leer mas de una ves\n\n\n\n\n\n\n\n             Puto el que lo lea xD,Este item te dará 20 puntos de skill adicionales!\n▼Este item no se puede leer mas de una ves\n\n\n\n\n\n\n\n             Puto el que lo lea xD


challengeRewardPrestige0ApplyQuest,items,prestigio,,,[F0EA4C]• Prestige 1 •,[F0EA4C]• Prestigio 1 •
challengeRewardPrestige0ApplyQuest2,items,prestigio,,,[EA4224]♦ Prestige 2 ♦,[EA4224]♦ Prestigio 2 ♦
challengeRewardPrestige0ApplyQuest3,items,prestigio,,,[00B0F6]★ Prestige 3 ★,[00B0F6]★ Prestigio 3 ★
prestige1Title,items,prestigio,,,[F0EA4C]Prestige 1 - • Pro •,[F0EA4C]Prestigio 1 - • Pro •
prestige1Desc,items,prestigio,,,"You can apply prestige by using the prestige medal!\n\n★ You will unlock prestige skills\n▼ Can't complete lvl 400/450 challenges anymore\n▼ XP gain -50%\n[D13A3A]▼ Will reset your character[-]","Puedes aplicar prestigio usando la medalla de prestigio!\n\n★ Desbloquearas las habilidades de prestigio\n▼ Ya no podras completar los challenge 400/450\n▼ Ganancia de XP -50%\n[D13A3A]▼ Reiniciara todo tu personaje[-]"
prestige2Title,items,prestigio,,,[EA4224]Prestige 2 - ♦ Master ♦,[EA4224]Prestigio 2 - ♦ Master ♦,
prestige2Desc,items,prestigio,,,"You can apply prestige by using the prestige medal!\n\n★ You will unlock the ancient equipment\n★ You will unlock prestige skills\n▼ Can't complete lvl 400/450 challenges anymore\n▼ XP gain -50%\n[D13A3A]▼ Will reset your character[-]","Puedes aplicar prestigio usando la medalla de prestigio!\n\n★ Desbloquearas los equipos ancestrales\n★ Desbloquearas las habilidades de prestigio\n▼ Ya no podras completar los challenge 400/450\n▼ Ganancia de XP -50%\n[D13A3A]▼ Reiniciara todo tu personaje[-]","Estas seguro de aplicar prestigio?\n\n★ Desbloquearas las habilidades de prestigio\n▼ Ganancia de XP -50%\n[D13A3A]▼ Reiniciara todo tu personaje[-]"
prestige3Title,items,prestigio,,,[00B0F6]Prestige 3 - ★ Legend ★,[00B0F6]Prestigio 3 - ★ Legendario ★
prestige3Desc,items,prestigio,,,"You can apply prestige by using the prestige medal!\n\n★ You will unlock the Divine armor\n★ You will unlock the ancient equipment\n★ You will unlock prestige skills\n▼ Can't complete lvl 400/450 challenges anymore\n▼ XP gain -50%\n[D13A3A]▼ Will reset your character[-]\n[D13A3A]▼ Every death will reset your level to 1[-]","Puedes aplicar prestigio usando la medalla de prestigio!\n\n★ Desbloquearas la Armadura Divina\n★ Desbloquearas los equipos ancestrales\n★ Desbloquearas las habilidades de prestigio\n▼ Ya no podras completar los challenge 400/450\n▼ Ganancia de XP -50%\n[D13A3A]▼ Reiniciara todo tu personaje[-]","Estas seguro de aplicar prestigio?\n\n★ Desbloquearas las habilidades de prestigio\n▼ Ganancia de XP -50%\n[D13A3A]▼ Reiniciara todo tu personaje[-]\n[D13A3A]▼ Cada muerte reiniciara tu nivel a 1[-]"

prequestDesc,quest,prestigio,,,This quest is a proof that you claimed the prestige kit.,Esta misión es una prueba de que reclamaste el kit de prestigio.
prequestDesc2,quest,prestigio,,,This quest is a proof that you claimed the prestige 2 kit,Esta misión es una prueba de que reclamaste el kit de prestigio 2.
prequestDesc3,quest,prestigio,,,This quest is a proof that you claimed the prestige 3 kit,Esta misión es una prueba de que reclamaste el kit de prestigio 3.

lvlUpChallengeBoxP0_50,item,lvlkit,,,[Lvl 50] • Reward Box •,[Lvl 50] Caja de recompensa •
lvlUpChallengeBoxP0_100,item,lvlkit,,,[Lvl 100] • Reward Box •,[Lvl 100] • Caja de recompensa •
lvlUpChallengeBoxP0_150,item,lvlkit,,,[Lvl 150] • Reward Box •,[Lvl 150] • Caja de recompensa •
lvlUpChallengeBoxP0_200,item,lvlkit,,,[Lvl 200] • Reward Box •,[Lvl 200] • Caja de recompensa •
lvlUpChallengeBoxP0_250,item,lvlkit,,,[Lvl 250] • Reward Box •,[Lvl 250] • Caja de recompensa •
lvlUpChallengeBoxP0_300,item,lvlkit,,,[Lvl 300] • Reward Box •,[Lvl 300] • Caja de recompensa •
lvlUpChallengeBoxP0_350,item,lvlkit,,,[Lvl 350] • Reward Box •,[Lvl 350] • Caja de recompensa •
lvlUpChallengeBoxP0_400,item,lvlkit,,,[Lvl 400] • Reward Box •,[Lvl 400] • Caja de recompensa •
lvlUpChallengeBoxP0_450,item,lvlkit,,,• Max LVL Box •,• Caja de LVL Maximo •
lvlUpChallengeBoxP1_50,item,lvlkit,,,[Lvl 50] ♦ Reward Box ♦,[Lvl 50] Caja de recompensa ♦
lvlUpChallengeBoxP1_100,item,lvlkit,,,[Lvl 100] ♦ Reward Box ♦,[Lvl 100] ♦ Caja de recompensa ♦
lvlUpChallengeBoxP1_150,item,lvlkit,,,[Lvl 150] ♦ Reward Box ♦,[Lvl 150] ♦ Caja de recompensa ♦
lvlUpChallengeBoxP1_200,item,lvlkit,,,[Lvl 200] ♦ Reward Box ♦,[Lvl 200] ♦ Caja de recompensa ♦
lvlUpChallengeBoxP1_250,item,lvlkit,,,[Lvl 250] ♦ Reward Box ♦,[Lvl 250] ♦ Caja de recompensa ♦
lvlUpChallengeBoxP1_300,item,lvlkit,,,[Lvl 300] ♦ Reward Box ♦,[Lvl 300] ♦ Caja de recompensa ♦
lvlUpChallengeBoxP1_350,item,lvlkit,,,[Lvl 350] ♦ Reward Box ♦,[Lvl 350] ♦ Caja de recompensa ♦
lvlUpChallengeBoxP1_400,item,lvlkit,,,[Lvl 400] ♦ Reward Box ♦,[Lvl 400] ♦ Caja de recompensa ♦
