Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
SP9longdesc,progression,Attribute,,,Requires lvl 330\n \nUnlocks Mitica Series!\n +40 Max HP/ST,Requiere lvl 330\n\nDesbloequea Serie Mitica! \n+40 Max HP/ST
SP10longdesc,progression,Attribute,,,Requires lvl 350\n \nUnlocks BetsyMK1 and BetsyMK2 the flying motorcycles!\n +50 Max HP/ST,Requiere lvl 350\n\nDesbloequea a BetsyMK1 y BetsyMK2 las motos voladoras especial! \n+50 Max HP/ST
ltool,ui_display,name,,,[Legendary Tools],[Herramientas Legendarias]
lweapon,ui_display,name,,,[Legendary Weapons],[Armas Legendarias]
larmor,ui_display,name,,,[Unique Items],[Items Unique]
ltrap,ui_display,name,,,[Special Mods and Materials],[Materiales y Mods Especiales]
ltech,ui_display,name,,,[Legendary Technology],[Herramientas Legendarias]
lbook,ui_display,name,,,[Master Books],[Libros Maestros]
mitems,ui_display,name,,,[Mytic Items],[Items Miticos]
SPWK,blocks,workstation,,,Legendary Workbench,Mesa de Trabajo Legendaria
SPWKDesc,blocks,desc,,,This Workbench is used to craft the special items in the server,Esta mesa de trabajo es usada para crear los items especiales del servidor
SPOGyroPlac,items,vehicle,,,[Legend] Special Operation Gyrocopter,[Legendario] Giróscopo de Operaciones Especiales
LegKit,items,kit,,,[Event] Mineral Kit,[Evento] Kit de Minerales
LegKitDesc,desc,vehicle,,,Special event kit to celebrate the new patch\nPress A to open,Kit de evento especial para celebrar el nuevo parche\nPresiona A para abrirlo
betsy,vehicles,vehicle,,,Betsy MK1,Betsy MK1
betsy2,vehicles,vehicle,,,Betsy MK2,Betsy MK2
betsy3,vehicles,vehicle,,,Betsy,Betsy
SPO4x4,vehicles,vehicle,,,S.O. 4x4,
SPOGyro,vehicles,vehicle,,,S.O. Gyrocopter,S.O. Gyrocoptero
modUNArmorPlat,item_modifiers,mod,,,[UNIQUE] Reinforced Armor Plate,[UNIQUE] Placa de Armadura Reforzada
modArmouni,item_modifiers,mod,,,An unique Reinforced Plate Mod,Un mod de Placa Reforzada unique
moddevinp,item_modifiers,mod,,,The ultimate damage modification\n+110% extra damage when attacking\nDisable radiation regen for 90 seconds \n\nAn special mod that combine the power of the 3 damage mods\n\nCrafted by smelting a Blessed stone and using all the knowlage to conbine the other two mods into one perfect part to conbine the stats,El modificador de daño definitivo!\n+110% de daño cuando atacas\nDesactiva la regeneracion de radiacion por 90 segundos\n\nUn mod especial que convina los tres modificadores de daño en uno solo\nFue crafteado derritiendo una piedra bendecida y usando todo el conocimiento para combinarlo con los otros dos modificadores para crear el mod perfecto para cualquier arma
modArmounipart,item_modifiers,mod,,,A special Part to craft the UNIQUE armors\n\nCrafthing this item will give you 5 at the same time,Una parte especial para crear las armaduras UNIQUE\n\nCraftear este item te dara 5 al mismo tiempo
Divine_mod,item_modifiers,mod,,,[Mytic]Divine Mod,[Mitico]Modificar Divino
Divine_mod2,item_modifiers,mod,,,[Donacion]Divine Mod,[Donacion]Modificar Divino
modArmounipart2,item,desc,,,A special Part to craft the UNIQUE armors MODS\n\nCrafthing this item will give you 5 at the same time,Una parte especial para crear MODS de armadura UNIQUE\n\nCraftear este item te dara 5 al mismo tiempo
LSTPR,item,desc,,,Special Reinforced Part,Parte Reforzada Especial
meleeToolPaintToolAdmin,item,desc,,,[Special] Spraygun,[Special] Pistola de Pintura
proelectricfence,items,item,,,Advanced Electrical Fences,Postes Electricos Avanzados
ProSolarbank,items,item,,,Advanced Solar Bank,Banco Solar Avanzado
ProGeneratorbank,items,item,,,Advanced Generator,Generador Avanzado
ProBatterybank,items,item,,,Advanced Battery Bank,Banco de Baterias Avanzado
ProPressureplate,items,item,,,Advanced Pressure Plate,Placas de Presion Avazada
ProPressureplateLong,items,item,,,Advanced Pressure Plate Long,Placa de Presion Larga Avazada
Promotionsensor,items,item,,,Advanced Motion Sensor,Sensor de Movimiento Avanzado

pppdesc,items,desc,,,"Advanced version of the preassure plates, it have a lot more durability than normal ones have the power reduced and can't be destroyed with projectiles","Version avanzada de las placas de Presion, tiene su durabilidad aumentada ademas de su consumo de poder reducido y no pueden ser destruidos con proyectiles"
Promotionsensordesc,items,desc,,,"Advanced Motion Sensor, it have a lot more durability than normal ones have the power reduced and can't be destroyed with projectiles","Version avanzada del sensor de movimiento, tiene su durabilidad aumentada ademas de su consumo de poder reducido y no pueden ser destruidos con proyectiles"
progenedesc,items,desc,,,"Advanced generator, it have a lot more durability than normal ones and double the power generated and can't be destroyed with projectiles","Version avanzada de los generadores, tienen su durabilidad aumentada ademas de generacion de energia duplicada y no pueden ser destruidos con proyectiles"

ProSolarCell,items,item,,,Advanzed Solar Cells,Panel Solar Avanzado
ProEngine,items,item,,,Advanced Container Generator,Generador Contenedor Avanzado
ProCarBattery,items,item,,,Advanzed Litum Batterys,Baterias de Litum Avanzada
trapSpikesSteelDmg0,items,item,,,Steel Spike Traps,Trampas de Pico de Acero



PBALname,progression,Attribute,,,Elite Crossbowman,Ballestero Elite
LBADesc1,progression,Attribute,,,Sneak Master
LBADesc2,progression,Attribute,,,Bullseye
LBADesc3,progression,Attribute,,,Ninja,Ninja
LBADesc1long,progression,Attribute,,,Requires Perk Special LVL 5\n\nUnlock Legendary Iron Crossbow,Desbloquea Ballesta de Hierro Legendaria
LBADesc2long,progression,Attribute,,,Requires Perk Special LVL 7\n\nUnlock Legendary Composite Crossbow,Desbloquea Ballesta Compuesta Legendaria
LBADesc3long,progression,Attribute,,,"Requires Perk Special LVL 9\n\nUnlocks Arbalest","Requiere Perk Special LVL 9\n\nDesbloquea la Arbalest"
PBMArname,progression,Attribute,,,Armor Master,Maestro de Armaduras
PBdesc,progression,Attribute,,,Now you can translate your knowledge as a master in a book,Ahora puedes plasmar tu conocimiento de maestro en un libro
PBMArlongdesc1,progression,Attribute,,,"Requires Perk Special LVL 4\n\nUnlocks Demolition Master Book Cover Page\nUnlocks Unique Reinforced Armor Plate","Requiere Perk Special LVL 4\n\nDesbloquea la portada del libro Maestros en Demoliciones\nDesbloquea Placa de armadura reforzada  UNIQUE"
PBMArlongdesc2,progression,Attribute,,,"Requires Perk Special LVL 6\n\nUnlocks Demolition Master Book pages","Requiere Perk Special LVL 6\n\nDesbloquea las paginas del libro Maestros en Demoliciones"
PBMArlongdesc3,progression,Attribute,,,"Requires Perk Special LVL 8\n\nUnlocks Demolition Master Book.","Requiere Perk Special LVL 8\n\nDesbloquea el libro Maestros en Demoliciones."
PBMArdesc1,progression,Attribute,,,Tank,Tanque
PBMArdesc2,progression,Attribute,,,Unstoppable Force,Fuerza Imparable
PBMArdesc3,progression,Attribute,,,Juggernaut,Juggernaut


PMASKILL,progression,Attribute,,,Weapons Master,Maestro de Armas
PMASDESC1,progression,Attribute,,,No longer a Noob!,Mas que un novato!
PMASDESC2,progression,Attribute,,,"I shot, therefore i am","Disparo, luego existo"
PMASDESC3,progression,Attribute,,,Once upon a time a gun,Érase una vez un arma
PMASLONDESC1,progression,Attribute,,,"Requires Perk Special LVL 4\n\nUnlocks all Weapon's Master Books Cover Page","Requiere Perk Special LVL 4\n\nDesbloquea la portada del libro Maestro de todas las armas"
PMASLONDESC2,progression,Attribute,,,"Requires Perk Special LVL 6\n\nUnlocks all Weapon's Master Book pages","Requiere Perk Special LVL 6\n\nDesbloquea las paginas del libro Maestro de todas las armas"
PMASLONDESC3,progression,Attribute,,,"Requires Perk Special LVL 8\n\nUnlocks all Weapon's Master Book.","Requiere Perk Special LVL 8\n\nDesbloquea los libros Maestros de todas las armas."

PMMSKILL,progression,Attribute,,,Wateland Master,Maestro del Wateland
PMMSDESC1,progression,Attribute,,,Poner el pico en el hierro
PMMSDESC2,progression,Attribute,,,Para que sepas que te quiero
PMMSDESC3,progression,Attribute,,,Como buen MINEROOO!
PMMSLONDESC1,progression,Attribute,,,"Requires Perk Special LVL 4\n\nUnlocks Blacksmith/Adventurer/Looter Master Books Cover Page","Requiere Perk Special LVL 4\n\nDesbloquea la portada de los libros Maestros de Herrero/Aventurero/Saqueo"
PMMSLONDESC2,progression,Attribute,,,"Requires Perk Special LVL 6\n\nUnlocks Blacksmith/Adventurer/Looter Master Book pages\nUnlocks Blessed Stone","Requiere Perk Special LVL 6\n\nDesbloquea las paginas de los libros Maestros de Herrero/Aventurero/Saqueo\nDesbloquea el metal bendecido"
PMMSLONDESC3,progression,Attribute,,,"Requires Perk Special LVL 8\n\nUnlocks Blacksmith/Adventurer/Looter Master Book.","Requiere Perk Special LVL 8\n\nDesbloquea los libros Maestros de Herrero/Aventurero/Saqueo"

PMISKILL,progression,Attribute,,,Master Engineer,Maestro Ingeniero
PMISDESC1,progression,Attribute,,,Did you try restarting it?,Intentaste Reiniciandolo?
PMISDESC2,progression,Attribute,,,Zombies won't like this,A los zombis no les gustará esto
PMISDESC3,progression,Attribute,,,How do i turn this on,How do i turn this on
PMISLONDESC1,progression,Attribute,,,"Requires Perk Special LVL 4\n\nUnlocks Tech Master Books Cover Page\nUnlocks Advanced Generator/Battery Bank and their energy items.","Requiere Perk Special LVL 4\n\nDesbloquea la portada del libro Maestro de Tecnologico\nDesbloquea las los generadores/bancos de bateria avanzados y sus items de energia."
PMISLONDESC2,progression,Attribute,,,"Requires Perk Special LVL 6\n\nUnlocks Tech Master Book pages\nUnlocks Advanced pressure plates and electric fences","Requiere Perk Special LVL 6\n\nDesbloquea las paginas del libro Maestro Tecnologico\nDesbloquea las placas de precion/cercas electricas avanzadas"
PMISLONDESC3,progression,Attribute,,,"Requires Perk Special LVL 8\n\nUnlocks Tech Master Book.\nUnlocks Advance Solar energy items\nUnlocks Diamond Blade Traps and advence turrest","Requiere Perk Special LVL 8\n\nDesbloquea el libro Maestros Tecnologico\nDesbloquea los items de energia solar avanzada\nDesbloquea las trampas de hoja de diamante y torretas avanzadas"

SAPS,progression,Attribute,,,Old West Style
SAPSDESC1,progression,Attribute,,,Gunfighter,Pistolero
SAPSDESC2,progression,Attribute,,,Outlaws,Forajido
SAPSDESC3,progression,Attribute,,,Lawmen,Alguacil
SAPSLONDESC1,progression,Attribute,,,"Requires Perk Special LVL 5\n\nUnlocks Legendary Pistol","Requiere Perk Special LVL 5\n\nDesbloquea la Pistola Legendaria"
SAPSLONDESC2,progression,Attribute,,,"Requires Perk Special LVL 7\n\nUnlocks Legendary Magnum and SMG5","Requiere Perk Special LVL 7\n\nDesbloquea la Magnum y SMG5 Legendaria"
SAPSLONDESC3,progression,Attribute,,,"Requires Perk Special LVL 9\n\nUnlocks Peacemaker and Delta01","Requiere Perk Special LVL 9\n\nDesbloquea a Delta01 y Peacemaker"

SAPS,progression,Attribute,,,Old West Style
SAPSDESC1,progression,Attribute,,,Gunfighter,Pistolero
SAPSDESC2,progression,Attribute,,,Outlaws,Forajido
SAPSDESC3,progression,Attribute,,,Lawmen,Alguacil
SAPSLONDESC1,progression,Attribute,,,"Requires Perk Special LVL 5\n\nUnlocks Legendary Pistol","Requiere Perk Special LVL 5\n\nDesbloquea la Pistola Legendaria"
SAPSLONDESC2,progression,Attribute,,,"Requires Perk Special LVL 7\n\nUnlocks Legendary Magnum","Requiere Perk Special LVL 7\n\nDesbloquea la Magnum Legendaria"
SAPSLONDESC3,progression,Attribute,,,"Requires Perk Special LVL 9\n\nUnlocks Peacemaker and Delta01","Requiere Perk Special LVL 9\n\nDesbloquea a Delta01 y Peacemaker"

SAES,progression,Attribute,,,The Destroyer
SAESDESC1,progression,Attribute,,,The Beginning,El Comienzo
SAESDESC2,progression,Attribute,,,Interlude,Interludio
SAESDESC3,progression,Attribute,,,The End,El Fin
SAESLONDESC1,progression,Attribute,,,"Requires Perk Special LVL 5\n\nUnlocks Legendary Sawed-off Shotgun","Requiere Perk Special LVL 5\n\nDesbloquea la escopeta recortada legendaria"
SAESLONDESC2,progression,Attribute,,,"Requires Perk Special LVL 7\n\nUnlocks Legendary Pump Shotgun","Requiere Perk Special LVL 7\n\nDesbloquea la escopeta de pompeo legendaria"
SAESLONDESC3,progression,Attribute,,,"Requires Perk Special LVL 9\n\nUnlocks Doombringer","Requiere Perk Special LVL 9\n\nDesbloquea a Doombringer"

SASS,progression,Attribute,,,Rifleman's Creed
SASSDESC1,progression,Attribute,,,"This is my rifle. There are many like it, but this one is mine.","Este es mi rifle, hay muchos como él, pero este es mio"
SASSDESC2,progression,Attribute,,,"Without me, my rifle is useless. Without my rifle, I am useless.","Sin mi, mi rifle no es nada, sin mi rifle no soy nada"
SASSDESC3,progression,Attribute,,,"So be it, until there is no enemy, but peace.","Así sera, hasta que no haya enemigos, solo paz"
SASSLONDESC1,progression,Attribute,,,"Requires Perk Special LVL 5\n\nUnlocks Legendary Hunting Rifle","Requiere Perk Special LVL 5\n\nDesbloquea el rifle de caza legendario"
SASSLONDESC2,progression,Attribute,,,"Requires Perk Special LVL 7\n\nUnlocks Legendary Marksman Rifle","Requiere Perk Special LVL 7\n\nDesbloquea el rifle de tirador legendario"
SASSLONDESC3,progression,Attribute,,,"Requires Perk Special LVL 9\n\nUnlocks One Shot","Requiere Perk Special LVL 9\n\nDesbloquea el One Shot"

SAMS,progression,Attribute,,,One man Army
SAMSDESC1,progression,Attribute,,,Rambo would be proud,Rambo estaria orgulloso
SAMSDESC2,progression,Attribute,,,Total Control,Control Total
SAMSDESC3,progression,Attribute,,,"One weapon to rule them all","Un arma para regirlos a todos"
SAMSLONDESC1,progression,Attribute,,,"Requires Perk Special LVL 5\n\nUnlocks Legendary AK47","Requiere Perk Special LVL 5\n\nDesbloquea el AK47 legendario"
SAMSLONDESC2,progression,Attribute,,,"Requires Perk Special LVL 7\n\nUnlocks Legendary Tactic AR","Requiere Perk Special LVL 7\n\nDesbloquea el AR Tactico Legendario"
SAMSLONDESC3,progression,Attribute,,,"Requires Perk Special LVL 9\n\nUnlocks Dominator","Requiere Perk Special LVL 9\n\nDesbloquea el Dominator"

SHLS,progression,Attribute,,,Legendary Blacksmith,Herrero Legendario
SHLSDESC1,progression,Attribute,,,Legend Crafter,Artesano de Leyendas
SHLSDESC2,progression,Attribute,,,Supreme Smith,Forjador Supremo
SHLSDESC3,progression,Attribute,,,Myth Maker,Creador de Mitos
SHLSLONDESC1,progression,Attribute,,,"Requires Perk Special LVL 4\n\nUnlocks Legendary Tools tier 1","Requiere Perk Special LVL 4\n\nDesbloquea las herramientas legendarias tier 1"
SHLSLONDESC2,progression,Attribute,,,"Requires Perk Special LVL 6\n\nUnlocks Legendary Tools tier 2","Requiere Perk Special LVL 6\n\nDesbloquea las herramientas legendarias tier 2"
SHLSLONDESC3,progression,Attribute,,,"Requires Perk Special LVL 9\n\nUnlocks Divine Hammer","Requiere Perk Special LVL 9\n\nDesbloquea el Martillo Divino"

SHLS,progression,Attribute,,,Legendary Blacksmith,Herrero Legendario
SHLSDESC1,progression,Attribute,,,Legend Crafter,Artesano de Leyendas
SHLSDESC2,progression,Attribute,,,Supreme Smith,Forjador Supremo
SHLSDESC3,progression,Attribute,,,Myth Maker,Creador de Mitos
SHLSLONDESC1,progression,Attribute,,,"Requires Perk Special LVL 4\n\nUnlocks Legendary Tools tier 1","Requiere Perk Special LVL 4\n\nDesbloquea las herramientas legendarias tier 1"
SHLSLONDESC2,progression,Attribute,,,"Requires Perk Special LVL 6\n\nUnlocks Legendary Tools tier 2","Requiere Perk Special LVL 6\n\nDesbloquea las herramientas legendarias tier 2"
SHLSLONDESC3,progression,Attribute,,,"Requires Perk Special LVL 9\n\nUnlocks Divine Hammer","Requiere Perk Special LVL 9\n\nDesbloquea el Martillo Divino"

Wireless_PowerBox_Vedui42,items,Block,,,Wireless Box,Caja Inalambrica
Wireless_Block,items,Gun,,,Wireless Block,Bloque Inalambrico
Wireless_BlockR,items,Gun,,,Reinforced Wireless Block,Bloque Inalambrico Reforzado

LMMachete,items,Melee,,,[Legend] Machete,[Legendario] Machete
LMLanza,items,Melee,,,[Legend] Spear,[Legendario] Lanza 
LMSMazo,items,Melee,,,[Legend] Sledgehammer,[Legendario] Demoledor
LMNudillos,items,Melee,,,[Legend] Assasin Nuckles,[Legendario] Nudillos de Asesino
LMMazo,items,Melee,,,[Legend] Modified Bat,[Legendario] Bate Modificado

LMBMachete,items,Melee,,,[BETA] Legend Machete
LMBLanza,items,Melee,,,[BETA] Legend Lanza
LMBSMazo,items,Melee,,,[BETA] Legend Mazo 2H
LMBNudillos,items,Melee,,,[BETA] Legend Nudillos
LMBMazo,items,Melee,,,[BETA] Legend Mazo 1H
AmmoKit,items,kits,,,[Premium] Kit de Municion,[Donacion] Kit de Municion



